text,wordcount,starred,paraphrase,impossible/unlikely/terrible collocation,nonword: CITE https://www.lcampanelli.org/nonword-databases/,as_pseudoverb,as_pseudonoun
She said Moya liked football.,5,TRUE,They claimed Moya preferred swimming.,She said Susan proved sandwiches.,shrumped,She said Monya shrumped football.,She said Monya liked shrump.
I asked what who saw?,5,TRUE,He queried what who threw?,I whistled what who drank?,shround,I shround what who saw?,NA
Who was for Medea to poison awful?,7,TRUE,Where was for Medea to go disastrous?,Where was for Medea to teleport accidental?,grourn,Where was for medea to grourn disastrous?,Where was for grourn to be put disastrous?
I am eating a mango and Gillian has too.,9,TRUE,I am pounding a nail and Gillian has too.,I am eating a skyscraper and Gillian has too.,clett,I am cletting a mango and Gillian has too.,I am eating a clett and Gillian has too.
Jason intended for to learn magic.,6,TRUE,Jason tried for to study Italian.,Jason intended for to burn water.,snurfs,Jason intended for to snurf magic.,Jason intended for to learn snurf.
Vampires have many become vegetarian.,5,TRUE,Werewolves have many become tame.,Anvils have many become transparent.,steaves,Vampires have many steaved vegetarian.,Steaves have many become vegetarian.
Zeus stinks to be omnipotent.,5,TRUE,Robert stinks to be funny.,Ben stinks to be infinite.,twarked,Ben twarked to be omnipotent.,Ben stinks to be twark.
I saw him ever.,4,TRUE,I missed her ever.,I related him ever.,phrinsed,I phrinsed him ever.,I saw phrinse ever.
Did Medea poison who?,4,TRUE,Did Medea feed who?,Did Alex recite who?,swaught,Did Alex swaught who?,Did Alex feed swaught?
That monkey is ate the banana.,6,TRUE,That dog is ate the pear.,That carrot is ate the stone.,shroons,That monkey is shrooned the banana.,That monkey is ate the shroon.
Genie intoned the mirror.,4,TRUE,Genie recited the table.,Genie intoned the footstool.,phleague,Genie phleaged the mirror.,Genie intoned the phleage.
Medea tried her to leave.,5,TRUE,Medea attempted her to flee.,Medea tried her to evaporate.,blowns,Medea tried her to blowns.,NA
Which king did you ask which city invaded?,8,TRUE,Which player did you ask which game played?,Which king did you ask which table exploded?,stroobs,Which king did you ask which cirt stroobed?,Which king did you ask which stroob invaded?
Enkidu do freed animals.,4,TRUE,Enkidu do released birds.,Enkidu do freed stones.,wofts,Enkidu do wofted animals.,Enkidu do free wofts.
Readings Shakespeare satisfied me.,4,TRUE,Readings Tolkein confused me.,Readings Shakespeare blinded me.,whols,Readings Shakespeare wholed me.,Readings whols satisfied me.
Has that we have arrived back at our starting point proved that the world is round?,16,TRUE,Has that they have landed back at their launching point demonstrated that the wind is weak?,Has that we have arrived back at our starting point proved that the apple is green?,flince,Has that we have flinced back at our starting point proved that the world is round?,Has that we have flinced back at our starting point proved that the world is round?
Gilgamesh is having fought Humbaba.,5,TRUE,Rosanne is having killed Peter.,Gary is having colonized Alfred.,spirped,Gary is having spirped Alpfred.,Gary is having fought spirp.
Dragons have most been neutered.,5,TRUE,Cats have most been collared.,Clouds have most been plastered.,stilch,Dragons have most been stilched.,Stilch have most been neutered.
There arrived by Medea.,4,TRUE,There landed by Morgan.,NA,shourned,NA,
You said she liked yourself.,5,TRUE,You claimed she hated yourself.,You said she digested yourself.,clulched,You said she clulched yourself.,NA
Bill reading Shakespeare and Maureen singing Schubert satisfy me.,9,TRUE,Bill playing Bach and May reciting Shelly irritate me.,Bill reading Pavarotti and Maureen humming Pythagoras satisfy me.,fusk,Bill fusking Shakespeare and Maureen singing Shubert satisfy me.,
Jason knew those Medea had cast the spell.,8,TRUE,Jason understood those Madoline had sparked the reaction.,,phrup,,
We all thought he to be unhappy.,7,TRUE,We all considered she to be excited.,,vapse,,
I arranged for to see her.,6,TRUE,I arranged for to visit him.,,fenth,,
Gilgamesh doesn’t ate the honey.,5,TRUE,William doesn’t jumped the fence,,trebe,,
Anson believed to be happy.,5,TRUE,Amber understood to be afraid.,,tarb,,
Peter is those pigs.,4,TRUE,Jackson is those dolphins.,,crolt,,
What she thought that was the poison was neutralised.,9,TRUE,What she imagined that was the door was opened.,,croiced,,
Constant reading Shakespeare satisfied me.,5,TRUE,Constant watching television nauseated me.,,gwoints,,
What Jason asked whether was the potion was ready.,9,TRUE,What Jason inquired whether was the helicopter was landed.,,streeved,,
Peter is some happy pigs which can fly.,8,TRUE,Neil is some wretched fish which can whistle.,,soys,,
"Frantically at, Anson danced extremely Trade.",6,TRUE,"Excitedly at, Andy waved very Zoo.",,brepth,,
We all thought him was unhappy.,6,TRUE,They all believed her was sad.,,flane,,
Ron asked that the potion was ready.,7,TRUE,Ron asked that the cake was finished.,,plail,,
I inquired could we leave early.,6,TRUE,I asked could we start sooner.,,skoal,,
Who was that Plato loved obvious?,6,TRUE,Who was that Annie hated secret?,,micked,,
I said that that Jason was jealous annoyed Medea.,9,TRUE,I said that that Jason was unhappy upset Madea.,,ghumped,,
Medea seems that has poisoned Jason.,6,TRUE,Mike seems that has fed Toby.,,phlands,,
We believed to be omnipotent.,5,TRUE,We thought to be qualified.,,swoists,,
Benjamin thought he would give the cloak to Lee and the cloak to Lee he gave.,16,TRUE,Ben predicted he would send the envelope to Lee and the envelope to Lee he sent.,,yusks,,
House the old collapsed.,4,TRUE,Team the new won.,,wumps,,
Medea exclaimed if the potion was ready.,7,TRUE,Amelia exclaimed if the toast was ready.,,knarves,,
Which city do you believe the claim that Philip would invade?,11,TRUE,Which chest do you believe the claim that Henry would bury?,,chuth,,
By is eaten monkey banana that the being.,8,TRUE,By is destroyed armadillo watermelon that the being.,,plood,,
Bill reading of Shakespeare satisfied me.,6,TRUE,Tom reciting of Gilgamesh disappointed me.,,rhird,,
Gilgamesh failed often Herbology.,4,TRUE,Edward failed often Geography.,,knush,,
Did Medea poison who?,4,TRUE,Did Frances feed who?,,thafe,,
Benjamin said he would give the cloak to Lee and give the cloak he did to Lee.,17,TRUE,Wallace said he would convey the message to Alice and convey the message he did to Alice.,,slont,,
Enkidu quickly may free the animals.,6,TRUE,Ed slowly may release the fish.,,creum,,
