sentence,stimID,source,sentenceType,itemType,grammatical,notes
The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page.,1,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,"G&T finding is that full is grammatical, but -VP2 is acceptable, others are unacceptable. I’ve marked grammatical as mid acceptable, but most examples look pretty bad to me.  Basic engine is nesting, G&T talk in terms of memory,  see also Vasishth2010 and Futrell-Levy2017"
The ancient manuscript that the grad student who the new card catalog was studying in the library was missing a page.,1,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page.,1,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,"Not super clear if flawed-but-acceptable actually comes in at higher acceptability than ‘full’, but it’s plausible. Full is certainly on the lower end of the acceptability scale, so possibly nice overlap with other item types."
The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library.,1,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago.,2,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The lullaby that the famous country singer who the record label was singing yesterday was written seventy years ago.,2,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago.,2,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday.,2,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours.,3,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The game that the child who the lawnmower was playing in the morning lasted for hours.,3,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The game that the child who the lawnmower had startled in the yard lasted for hours.,3,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The game that the child who the lawnmower had startled in the yard was playing in the morning.,3,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The crime that the gangster who the story had profiled had planned for weeks was quickly solved.,4,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The crime that the gangster who the story had planned for weeks was quickly solved.,4,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The crime that the gangster who the story had profiled was quickly solved.,4,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The crime that the gangster who the story had profiled had planned for weeks.,4,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine.,5,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The picture that the artist who the school was hurriedly copying was printed in a magazine.,5,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The picture that the artist who the school had expelled for cheating was printed in a magazine.,5,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The picture that the artist who the school had expelled for cheating was hurriedly copying.,5,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The trophy that the athlete who the restaurant had hired as a spokesman had won at the track meet was stolen later.,6,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The trophy that the athlete who the restaurant had won at the track meet was stolen later.,6,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The trophy that the athlete who the restaurant had hired as a spokesman was stolen later.,6,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The trophy that the athlete who the restaurant had hired as a spokesman had won at the track meet.,6,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The apartment that the maid who the service had sent over was cleaning every week was well decorated.,7,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The apartment that the maid who the service was cleaning every week was well decorated.,7,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The apartment that the maid who the service had sent over was well decorated.,7,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The apartment that the maid who the service had sent over was cleaning every week.,7,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The shirt that the seamstress who the immigration officer had investigated last week was carefully mending needed to be dry cleaned.,8,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The shirt that the seamstress who the immigration officer was carefully mending needed to be dry cleaned.,8,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The shirt that the seamstress who the immigration officer had investigated last week needed to be dry cleaned.,8,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The shirt that the seamstress who the immigration officer had investigated last week was carefully mending.,8,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The lecture that the professor who the newspaper story had just profiled in detail was teaching poorly was not well attended.,9,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The lecture that the professor who the newspaper story was teaching poorly was not well attended.,9,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The lecture that the professor who the newspaper story had just profiled in detail was not well attended.,9,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The lecture that the professor who the newspaper story had just profiled in detail was teaching poorly.,9,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The novel that the horror author who the publishing company had recently fired had typed quickly was banned by the local library.,10,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The novel that the horror author who the publishing company had typed quickly was banned by the local library.,10,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The novel that the horror author who the publishing company had recently fired was banned by the local library.,10,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The novel that the horror author who the publishing company had recently fired had typed quickly.,10,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The prayer that the monk who the religious fanatic had persecuted relentlessly was chanting every day was echoing in the empty church.,11,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The prayer that the monk who the religious fanatic was chanting every day was echoing in the empty church.,11,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The prayer that the monk who the religious fanatic had persecuted relentlessly was echoing in the empty church.,11,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The prayer that the monk who the religious fanatic had persecuted relentlessly was chanting every day.,11,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The monologue that the actor who the movie industry had snubbed repeatedly was performing last month was extremely well written.,12,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,full ,TRUE,
The monologue that the actor who the movie industry was performing last month was extremely well written.,12,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing1,FALSE,
The monologue that the actor who the movie industry had snubbed repeatedly was extremely well written.,12,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing2,FALSE,
The monologue that the actor who the movie industry had snubbed repeatedly was performing last month.,12,Gibson & Thomas (1999) Memory Limitations and Structural Forgetting: The Perception of Complex Ungrammatical Sentences as Grammatical,embedding,missing3,FALSE,
The carpenter who the craftsman that the peasant carried hurt supervised the apprentice.,13,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,Same embedding mechanism as G&T
The carpenter who the pillar that the peasant carried hurt supervised the apprentice.,13,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The carpenter who the craftsman that the peasant carried supervised the apprentice.,13,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The carpenter who the pillar that the peasant carried supervised the apprentice.,13,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The mother who the daughter that the sister found frightened greeted the grandmother.,14,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The mother who the gun that the sister found frightened greeted the grandmother.,14,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The mother who the daughter that the sister found greeted the grandmother.,14,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The mother who the gun that the sister found greeted the grandmother.,14,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The worker who the tenant that the foreman looked for injured questioned the shepherd.,15,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The worker who the bucket that the foreman looked for injured questioned the shepherd.,15,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The worker who the tenant that the foreman looked for questioned the shepherd.,15,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The worker who the bucket that the foreman looked for questioned the shepherd.,15,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The trader who the businessman that the professor hired confused annoyed the investor.,16,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The trader who the computer that the professor hired confused annoyed the investor.,16,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The trader who the businessman that the professor hired annoyed the investor.,16,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The trader who the computer that the professor hired annoyed the investor.,17,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The painter who the musician that the father missed sheltered cooked for the artist.,17,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The painter who the hut that the father missed sheltered cooked for the artist.,17,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The painter who the musician that the father missed cooked for the artist.,17,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The painter who the hut that the father missed cooked for the artist.,17,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The saxophonist who the trumpeter that the conductor brought along distracted thanked the violinist.,18,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The saxophonist who the baton that the conductor brought along distracted thanked the violinist.,18,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The saxophonist who the trumpeter that the conductor brought along thanked the violinist.,18,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The saxophonist who the baton that the conductor brought along thanked the violinist.,18,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The pharmacist who the optician that the stranger saw troubled questioned the customer.,19,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
