"text","stim_type","item_type","canon_status.x","mean_time","canonstatus","is_acceptable","is_grammatical","canon_status.y"
"A gambler without a system has ever finished ahead. ","NPI","Partial match NPI",FALSE,-0.564240625622735,FALSE,NA,1.5,FALSE
"A gambler without a system has ever finished ahead. ","NPI","Partial match NPI",FALSE,0.683249702122451,FALSE,1.66666666666667,NA,FALSE
"All of the garden forks without wooden handles ever have more than four tines.","NPI","Partial match NPI",FALSE,-0.063561197525348,FALSE,1.23076923076923,NA,FALSE
"All of the garden forks without wooden handles ever have more than four tines.","NPI","Partial match NPI",FALSE,0.561453070774196,FALSE,NA,1,FALSE
"All of the garden forks with wooden handles ever have more than four tines.","NPI","Unlicensed NPI",FALSE,-0.0712268097642427,FALSE,1.64705882352941,NA,FALSE
"All of the garden forks with wooden handles ever have more than four tines.","NPI","Unlicensed NPI",FALSE,0.215989383667401,FALSE,NA,1.84615384615385,FALSE
"All the postal workers seem to have all taken a break at the same time.","expert_vs_ppnt_clash","linguistsNO_ppntsYES",FALSE,-0.0962971564519206,FALSE,4.14814814814815,NA,FALSE
"All the postal workers seem to have all taken a break at the same time.","expert_vs_ppnt_clash","linguistsNO_ppntsYES",FALSE,0.146962114003616,FALSE,NA,3.95833333333333,FALSE
"A mad captain without a plan ever gives that order.","NPI","Partial match NPI",FALSE,-0.310642948825089,FALSE,NA,1.66666666666667,FALSE
"A mad captain without a plan ever gives that order.","NPI","Partial match NPI",FALSE,-0.146317400761232,FALSE,1,NA,FALSE
"A man ate any spinach.","NPI","Unlicensed NPI",FALSE,-0.663788007690417,FALSE,2.08333333333333,NA,FALSE
"A man ate any spinach.","NPI","Unlicensed NPI",FALSE,-0.278186766779122,FALSE,NA,2.25,FALSE
"Amanda hinted to Jack there will be a pop quiz on Monday.","expert_vs_ppnt_clash","linguistsNO_ppntsYES",FALSE,-0.389571284405056,FALSE,4.5,NA,FALSE
"Amanda hinted to Jack there will be a pop quiz on Monday.","expert_vs_ppnt_clash","linguistsNO_ppntsYES",FALSE,-0.383647966910031,FALSE,NA,4.5,FALSE
"A man other than the vegetarian ate any spinach.","NPI","Partial match NPI",FALSE,0.074750627469744,FALSE,1.46666666666667,NA,FALSE
"A man other than the vegetarian ate any spinach.","NPI","Partial match NPI",FALSE,0.12558710798105,FALSE,NA,2.27272727272727,FALSE
"A performance not involving this style of mask has ever been traditional on Palau.","NPI","Partial match NPI",FALSE,0.0738712973792284,FALSE,2.57142857142857,NA,FALSE
"A performance not involving this style of mask has ever been traditional on Palau.","NPI","Partial match NPI",FALSE,0.165004350032872,FALSE,NA,2.125,FALSE
"A pirate with no beard has ever beaten me at cards.","NPI","Partial match NPI",FALSE,-0.232609568872183,FALSE,1.35294117647059,NA,FALSE
"A pirate with no beard has ever beaten me at cards.","NPI","Partial match NPI",FALSE,-0.20887783886993,FALSE,NA,1.25,FALSE
"Ashley suggested to Michael he should throw a party.","expert_vs_ppnt_clash","linguistsNO_ppntsYES",FALSE,-0.371181461560583,FALSE,4.45454545454545,NA,FALSE
"Ashley suggested to Michael he should throw a party.","expert_vs_ppnt_clash","linguistsNO_ppntsYES",FALSE,-0.0691392723171883,FALSE,NA,4.23333333333333,FALSE
"A superhero without a cape has ever missed a chance to flaunt  it.","NPI","Partial match NPI",FALSE,-0.22773518083825,FALSE,1.53846153846154,NA,FALSE
