"ppntID","gender","age","language","country","screenheight","screenwidth"
8851512,"male","40","arabic","Egypt",900,1440
5926988,"male","57","english","United States",768,1366
6444061,"male","66","english","United States",768,1360
6517208,"other","25","english","United States",1080,1920
8953967,"female","53","english","United States",768,1366
1280357,"other","33","english","United States",825,1467
2020584,"male","63","english","United States",1440,2560
3031810,"male","33","english","India",768,1366
2592897,"female","28","english","United States",768,1366
9629907,"female","29","english","United States",1200,1920
4997867,"female","25","tamil","India",768,1366
5619613,"male","24","english","India",768,1366
6219285,"other","-1000","elvish","Antarctica",1152,2048
9030834,"female","29","english","United States",1080,1920
3813083,"female","33","english","United States",720,1280
80986,"male","36","english","United States",720,1280
9500280,"female","38","english","United States",768,1366
6028063,"female","26","english","United States",768,1366
8620079,"male","30","english","United States",1080,1920
5269362,"female","31","english","United States",1080,1920
1898558,"male","24","english","United States",1080,1920
2068341,"male","24","english","United States",768,1366
9978576,"male","55","english","United States",1080,1920
469702,"female","25","english","United States",768,1366
2865934,"male","30","english","United States",1440,2560
2066955,"female","27","english","United States",900,1440
1481845,"male","28","english","United States",768,1366
2764640,"female","29","english","United States",1080,1920
6646257,"female","38","english","United States",768,1366
6507315,"male","24","english ","United States",800,1280
7200700,"male","36","english","United States",900,1600
2146815,"male","29","english","United States",864,1536
9131353,"female","29","english","United States",900,1440
8919711,"male","30","english","United States",900,1440
1633369,"male","26","english","United States",900,1600
9562862,"male","38","english","United States",1050,1680
1988986,"female","39","english","United States",768,1366
2402015,"male","26","english","United States",1080,1920
3936442,"female","46","english","United States",768,1366
4743065,"female","36","english","United States",1080,1920
6745161,"female","31","english","United States",864,1536
5264593,"male","33","english","United States",1200,1920
9219787,"female","31","english","United States",720,1280
635567,"male","36","english","United States",1080,1920
3312301,"male","33","english","United States",720,1280
7175772,"male","26","english","United States",864,1536
1809785,"male","37","english","United States",1080,1920
6193440,"female","31","english","United States",900,1600
656330,"male","35","english","United States",864,1536
8036280,"female","65","english","United States",768,1366
857898,"female","31","english","United States",1080,1920
6012508,"female","38","english","United States",1080,1920
730681,"male","31","english","United States",900,1440
5203252,"male","33","english","United States",1080,1920
5515144,"male","35","english","United States",1080,1920
3161821,"female","38","english","United States",768,1366
8908429,"male","32","english","United States",800,1280
5018135,"male","29","english","United States",1080,1920
2065502,"male","33","english","United States",1080,1920
8699538,"male","31","english","United States",1080,1920
5098231,"female","60","english","United States",900,1600
4005335,"male","31","english","United States",768,1366
2826457,"female","25","english","United States",900,1600
7690572,"female","45","english","United States",1050,1680
9238401,"male","27","english","United States",768,1366
8152935,"male","48","english","United States",768,1366
7340340,"female","33","english","United States",900,1600
6293979,"female","41","english","United States",900,1600
1367706,"female","54","english","United States",1080,1920
6307998,"male","60","english","United States",864,1536
2653266,"female","36","english","United States",768,1366
5855055,"female","57","english","United States",1080,1920
9570010,"female","38","english","United States",768,1366
8127689,"female","39","english","United States",864,1536
8400971,"male","37","english","United States",768,1366
1160921,"male","37","english","United States",1080,1920
4445429,"male","28","english","United States",768,1366
8756646,"female","31","english","United States",864,1536
3360188,"male","27","english","United States",1080,1920
2089500,"male","29","english","United States",900,1440
1464865,"male","29","english","United States",640,360
7391400,"male","30","english","United States",768,1366
5188083,"male","58","english","United States",768,1366
3072000,"male","34","english","United States",864,1536
5582306,"male","27","enlgish","United States",768,1366
7087617,"male","34","english","United States",900,1600
5439418,"female","37","english","United States",864,1536
6172300,"female","25","english","United States",900,1600
3008195,"female","28","english","United States",1080,1920
5970715,"male","34","english","United States",864,1536
2698696,"male","58","english","United States",1080,1920
886166,"female","33","english ","United States",1080,1920
2138010,"male","25","english","United States",1080,1920
4168735,"male","35","english","United States",1080,1920
8940048,"female","26","english","United States",800,1280
3201995,"male","25","english","United States",1080,1920
2655636,"male","28","spanish","United States",768,1360
1605555,"female","27","english","United States",768,1366
5960879,"female","24","english","United States",800,1280
9700636,"male","32","english","United States",1080,1920
7935429,"male","71","english","United States",768,1360
3808600,"female","47","english","United States",768,1366
2126448,"female","35","english","United States",768,1366
6889989,"female","36","english","United States",1080,1920
153398,"male","56","english","United States",768,1360
2019587,"male","29","english","United States",1080,1920
4416985,"female","30","english","United States",800,1280
7237101,"male","52","english","United States",864,1536
1271156,"male","34","english","United States",900,1600
1993070,"female","44","english","United States",900,1600
9435992,"female","28","english","United States",768,1366
8549806,"male","57","english","United States",768,1366
7236070,"male","37","english","United States",768,1366
7834371,"male","46","male","United States",1440,2560
4678527,"female","23","english","United States",768,1366
5302913,"male","31","english","United States",800,1280
6893468,"male","41","english","United States",360,640
5538452,"female","28","english","United States",768,1360
6467111,"female","59","english","United States",1080,1920
5938306,"female","45","english","United States",864,1536
9342091,"male","22","english","United States",768,1366
643515,"male","48","english","United States",1080,1920
2039947,"male","33","english","United States",864,1536
4681003,"female","38","english","United States",720,1280
6477929,"male","55","english","United States",1080,1920
9141301,"male","27","english","United States",1080,1920
1760108,"male","24","english","United States",1024,1280
1604871,"female","37","english","United States",900,1440
5961581,"male","24","english","United States",768,1364
298236,"male","36","english","United States",1080,1920
2486679,"male","32","english","United States",1080,1920
5063308,"female","27","english","United States",768,1366
7115010,"female","28","english","United States",768,1366
38211,"male","39","english","United States",900,1600
7115010,"female","28","english","United States",768,1366
8258197,"male","29","english","United States",768,1024
