text,starred,source,structure_group
I asked what who saw?,TRUE,adger,1
Who was for Mandy to poison awful?,TRUE,adger,2
I am eating a mango and Gillian has too.,TRUE,adger,3
Jason intended for to learn magic.,TRUE,adger,4
Vampires have many become vegetarian.,TRUE,adger,5
Zeus stinks to be omnipotent.,TRUE,adger,6
I saw him ever.,TRUE,adger,7
Did Mandy poison who?,TRUE,adger,8
That monkey is ate the banana.,TRUE,adger,9
Genie intoned the mirror.,TRUE,adger,10
Mandy tried her to leave.,TRUE,adger,11
Which king did you ask which city invaded?,TRUE,adger,12
Enkidu do freed animals.,TRUE,adger,13
Readings Shakespeare satisfied me.,TRUE,adger,14
Has that we have arrived back at our starting point proved that the world is round?,TRUE,adger,15
John is having fought Humbaba.,TRUE,adger,16
Dragons have most been neutered.,TRUE,adger,17
There arrived by Mandy.,TRUE,adger,18
You said she liked yourself.,TRUE,adger,19
Bill reading Shakespeare and Maureen singing Schubert satisfy me.,TRUE,adger,20
Jason knew those Mandy had cast the spell.,TRUE,adger,21
We all thought he to be unhappy.,TRUE,adger,22
I arranged for to see her.,TRUE,adger,23
John doesn’t ate the honey.,TRUE,adger,24
Anson believed to be happy.,TRUE,adger,25
Peter is those pigs.,TRUE,adger,26
What she thought that was the poison was neutralised.,TRUE,adger,27
Constant reading Shakespeare satisfied me.,TRUE,adger,28
What Jason asked whether was the potion was ready.,TRUE,adger,29
Peter is some happy pigs which can fly.,TRUE,adger,30
"Frantically at, Anson danced extremely Trade.",TRUE,adger,31
We all thought him was unhappy.,TRUE,adger,32
Ron asked that the potion was ready.,TRUE,adger,33
I inquired could we leave early.,TRUE,adger,34
Who was that Plato loved obvious?,TRUE,adger,35
I said that that Jason was jealous annoyed Mandy.,TRUE,adger,36
Mandy seems that has poisoned Jason.,TRUE,adger,37
We believed to be omnipotent.,TRUE,adger,38
Benjamin thought he would give the cloak to Lee and the cloak to Lee he gave.,TRUE,adger,39
House the old collapsed.,TRUE,adger,40
Mandy exclaimed if the potion was ready.,TRUE,adger,41
