"ppntID","questiontext","text","hm_options","bookend_labels","response","responseTime"
"5411356","spacer_screen","This block of questions asks you to judge if a sentence makes sense. Please answer 'Yes' if the sentence is meaningful, or 'No' if it is not.",0,"Continue_button_only","continue",1562636288976
"5411356","Does this sentence make sense?","The guard employed for the arms-reduction treaty signing ceremonies were from a neutral third country.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636299966
"5411356","Does this sentence make sense?","Constant watching television nauseated me.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636303901
"5411356","Does this sentence make sense?","That the answer is obvious upset Hermes.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636306437
"5411356","Does this sentence make sense?","Jason understood those Madeline had sparked the reaction.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","1",1562636314402
"5411356","Does this sentence make sense?","The key to the cabinet is on the table.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636317717
"5411356","Does this sentence make sense?","The cleaner who the janitor that the doctor recognised surprised the patient.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","2",1562636325637
"5411356","Does this sentence make sense?","The consul’s gift of the gladiator to himself.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","3",1562636330652
"5411356","Does this sentence make sense?","The memo from the accountants flutter to the floor unnoticed.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636342016
"5411356","Does this sentence make sense?","Where was for Mandy to teleport accidental?",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636347144
"5411356","Does this sentence make sense?","The tables that the students painted look nice.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636353203
"5411356","Does this sentence make sense?","Jonas thought of attacking the dog.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636356624
"5411356","Does this sentence make sense?","The apartment that the maid who the service had sent over was well decorated.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","1",1562636365236
"5411356","Does this sentence make sense?","The mechanics who repaired the limousine’s rear tires are in a feud with my cousin’s friend’s family.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636371849
"5411356","Does this sentence make sense?","We believed to be extinguished.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","2",1562636375657
"5411356","Does this sentence make sense?","The receptionist who greeted the distinguished visitors were fluent in Spanish.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","4",1562636381862
"5411356","Does this sentence make sense?","Where has he left the book?",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636387569
"5411356","Does this sentence make sense?","John doesn’t ate the honey.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","4",1562636392661
"5411356","Does this sentence make sense?","The tiles used to cover the floors are from Morocco.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636397139
"5411356","Does this sentence make sense?","I whistled what who drank?",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","1",1562636401244
"5411356","Does this sentence make sense?","The lecture that the professor who the newspaper story had just profiled in detail was not well attended.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","1",1562636432383
"5411356","Does this sentence make sense?","The trader who the computer that the professor hired confused annoyed the investor.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","1",1562636464992
"5411356","Does this sentence make sense?","Who was that Annie hated secret?",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","3",1562636468620
"5411356","Does this sentence make sense?","Mandy tried her to leave.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","2",1562636471299
"5411356","Does this sentence make sense?","The table that the students painted look nice.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","5",1562636474804
"5411356","Does this sentence make sense?","Amber believed to be sad.",6,"[""Definitely</br> does not make sense"",""Mostly </br> does not make sense"",""Close but </br> does not make sense"",""Barely </br> makes sense"",""Mostly </br> makes sense"",""Definitely </br> makes sense""]","2",1562636478918
"5411356","spacer_screen","This block of questions asks you to judge if a sentence is grammatical or not. It doesn't matter if the sentence is ugly or even makes no sense: please answer 'Yes' if it is a valid construction in English or 'No' if it is not.",0,"Continue_button_only","continue",1562636482487
"5411356","Is this sentence grammatical?","The bridge to the islands are very crowded.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","0",1562636488001
"5411356","Is this sentence grammatical?","Has that we have arrived back at our starting point proved that the world is round?",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1562636493685
"5411356","Is this sentence grammatical?","Fish love to find them.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1562636496785
"5411356","Is this sentence grammatical?","The novel that the horror author who the publishing company had recently fired was banned by the local library.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","4",1562636503481
"5411356","Is this sentence grammatical?","The defence who the prosecutor that the spy looked at convinced the judge.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","4",1562636507394
"5411356","Is this sentence grammatical?","The keys to the cabinet is on the table.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","0",1562636513286
"5411356","Is this sentence grammatical?","The dog that chased the truck is very muddy.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1562636525645
"5411356","Is this sentence grammatical?","The trophy that the athlete who the restaurant had won at the track meet was stolen later.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1562636534633
"5411356","Is this sentence grammatical?","Jenny’s rabid extremely tall snake.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1562636541225
"5411356","Is this sentence grammatical?","The crime that the gangster who the story had profiled had planned for weeks.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1562636548314
"5411356","Is this sentence grammatical?","The carpenter who the pillar that the peasant carried hurt supervised the apprentice.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","3",1562636553039
"5411356","Is this sentence grammatical?","Which city do you believe the claim that Philip would invade?",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1562636573197
"5411356","Is this sentence grammatical?","The monologue that the actor who the movie industry was performing last month was extremely well written.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1562636576757
"5411356","Is this sentence grammatical?","The labels on the bottle is quite hard to read.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1562636580080
"5411356","Is this sentence grammatical?","I arranged for to see her.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1562636584271
"5411356","Is this sentence grammatical?","The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1562636593174
